sigma,Q,pmin,S_small,Delta_SS,Delta_SF,Delta_FS,Delta_FF,mu_small_min,delta_cert,K_sigma,h,theta,L_cum,target_rhs,margin
0.6,53,215,1.4256686418463633,0.1270331922715034,0.521023410358129,0.00024222351868518477,0.0009934736073117765,0.9857284367156578,0.3364361369600285,1.6385400752962271,0.015,0.024578101129443405,0.024578101129443405,0.9757214809927958,-0.6392853440327673
0.585,53,283,1.460392002778257,0.13329655011116806,0.6647515573892973,0.00019960029593510671,0.0009954091645100274,0.9856351826511717,0.18639206569026123,1.657112859214797,0.015,0.024856692888221954,0.04943479401766536,0.951767217029475,-0.7653751513392137
0.57,53,389,1.4962745673089852,0.13992734879848068,0.8801872042153427,0.00015835990701486814,0.0009961338152412122,0.9857257619809121,-0.035543284755167326,1.6774930208799508,0.015,0.025162395313199262,0.07459718933086462,0.9281172665793493,-0.9636605513345167
0.5549999999999999,53,567,1.5333639761569107,0.14695031771098319,1.2295825189550122,0.000119260093699538,0.000997889141759431,0.9860657360580429,-0.39158424984341145,1.701091361448063,0.015,0.025516370421720943,0.10011355975258557,0.9047346707567254,-1.2963189206001369
0.5399999999999999,53,908,1.5717100702992741,0.15439203406750932,1.8702005067303464,8.238405618759917e-05,0.0009979446450014303,0.9868032592343116,-1.038869610264733,1.7309777676957276,0.015,0.025964666515435914,0.12607822626802148,0.881545884041504,-1.920415494306237
0.5249999999999999,53,1724,1.6113649996114865,0.16228107262330788,3.343696132419032,4.84867695944016e-05,0.0009990384050678743,0.9882061229233007,-2.5188186072937016,1.778157039370886,0.015,0.02667235559056329,0.15275058185858478,0.858343781625792,-3.3771623889194933
0.5099999999999999,53,5267,1.6523833371002066,0.17064816829540094,9.479294491578218,1.7997487169859555e-05,0.0009997381319451126,0.991149075453766,-8.659811320038967,1.9173944659677857,0.015,0.028760916989516785,0.18151149884810158,0.8340086551095011,-9.493819975148469
