sigma,Q,pmin,S_small,Delta_SS,Delta_SF,Delta_FS,Delta_FF,mu_small_min,delta_cert,K_sigma,h,theta,L_cum,target_rhs,margin
0.6,53,77,1.4256686418463633,0.027966268631064613,0.031665078670200256,0.0007494778752074897,0.0005709180435836241,0.9786260559163953,0.9176743126963393,1.6034392676559401,0.015,0.0240515890148391,0.0240515890148391,0.9657487333433219,-0.04807442064698264
0.585,53,86,1.460392002778257,0.02913792675046007,0.03549598503054835,0.0007268062341558593,0.0005996059837863173,0.9772490609264654,0.9112887369275148,1.6177613144948542,0.015,0.024266419717422813,0.04831800873226191,0.9425955280902145,-0.03130679116269974
0.57,53,91,1.4962745673089852,0.030364013458334685,0.040903311864146946,0.0007494057512183682,0.0006881550147233333,0.9752871454831322,0.9025822593947089,1.6328597418685233,0.015,0.02449289612802785,0.07281090486028977,0.9197890719358569,-0.017206812541147976
0.5549999999999999,53,107,1.5333639761569107,0.03164730036737073,0.047172649069775315,0.0006926684201223655,0.000708397509256335,0.974089211037144,0.8938681956706193,1.6475373393820367,0.015,0.02471306009073055,0.09752396495102031,0.8973368436495209,-0.0034686479789016733
0.5399999999999999,53,132,1.5717100702992741,0.03299071101285944,0.055925612030993985,0.0006121467734025328,0.0007166136108726877,0.9731980887139228,0.8829530052857941,1.6623251472148217,0.015,0.024934877208222326,0.12245884215924263,0.875238514159216,0.007714491126578071
0.5249999999999999,53,171,1.6113649996114865,0.03439732965408146,0.07003716309466525,0.0005179083706368136,0.0007329313169235735,0.9726269584541941,0.866941626017887,1.6774570163609448,0.015,0.025161855245414172,0.1476206974046568,0.8534906451305055,0.013450980887381503
0.5099999999999999,53,259,1.6523833371002066,0.035870410606648175,0.10016791887286222,0.00037718816933728154,0.0007367772115304494,0.9733259531823064,0.8361736583219282,1.6928411733677333,0.015,0.025392617600515997,0.1730133150051728,0.8320911282558247,0.004082530066103596
